Time(s),Torque,signal_0,signal_1,signal_2
3.03,0.14407815,-1.0,-0.1,21.700000000000003
3.03,0.14407815,-1.0,-0.1,21.700000000000003
3.04,0.13919415,-1.0,-0.1,21.700000000000003
3.04,0.14896215,-1.0,-0.1,21.700000000000003
3.04,0.14407815,-1.0,-0.1,21.700000000000003
3.04,0.14896215,-1.0,-0.1,21.700000000000003
3.04,0.15384616,-1.0,-0.1,21.700000000000003
3.04,0.15384616,-1.0,-0.1,21.700000000000003
3.04,0.15384616,-1.0,-0.1,21.700000000000003
3.04,0.15384616,-1.0,-0.1,21.700000000000003
3.04,0.14896215,-1.0,-0.1,21.700000000000003
3.05,0.14896215,-1.0,-0.1,21.700000000000003
3.05,0.14896215,-1.0,-0.1,21.700000000000003
3.05,0.14407815,-1.0,-0.1,21.700000000000003
3.05,0.13919415,-1.0,-0.1,21.700000000000003
3.05,0.13919415,-1.0,-0.1,21.700000000000003
